epoch,accuracy,loss,val_accuracy,val_loss
0,0.4479166567325592,1.5584533214569092,0.6875,1.0305957794189453
1,0.6996527910232544,0.9203498363494873,0.765625,0.904024600982666
2,0.8342013955116272,0.6108431220054626,0.8125,0.6301645040512085
3,0.8810763955116272,0.4578758478164673,0.859375,0.5755700469017029
4,0.9149305820465088,0.3547291159629822,0.875,0.5202837586402893
5,0.9314236044883728,0.3040369153022766,0.8359375,0.5332708954811096
6,0.953125,0.258940726518631,0.9140625,0.36699849367141724
7,0.9730902910232544,0.18587419390678406,0.90625,0.3676730990409851
8,0.9696180820465088,0.18474909663200378,0.890625,0.42568522691726685
9,0.9713541865348816,0.18381892144680023,0.953125,0.2615658640861511
10,0.984375,0.13249166309833527,0.953125,0.2541835308074951
11,0.9861111044883728,0.12078787386417389,0.953125,0.2614127993583679
12,0.9887152910232544,0.11126334220170975,0.953125,0.27504003047943115
13,0.9921875,0.09203963726758957,0.9609375,0.246340811252594
14,0.9913194179534912,0.0964139997959137,0.9375,0.24518683552742004
15,0.9973958134651184,0.07731608301401138,0.921875,0.2663135826587677
16,0.9930555820465088,0.08137688785791397,0.9140625,0.3225429058074951
17,0.9852430820465088,0.10824916511774063,0.9140625,0.35603034496307373
18,0.9930555820465088,0.09626580029726028,0.9453125,0.2817632257938385
19,0.9956597089767456,0.07496197521686554,0.9375,0.2881227433681488
20,0.9965277910232544,0.06775243580341339,0.953125,0.20439064502716064
21,0.9982638955116272,0.05927136912941933,0.9375,0.22254997491836548
22,0.9956597089767456,0.060412246733903885,0.9453125,0.20156438648700714
23,0.9626736044883728,0.17780636250972748,0.7734375,0.9498947858810425
24,0.8810763955116272,0.42129433155059814,0.78125,0.7061768770217896
25,0.9565972089767456,0.21249490976333618,0.921875,0.29477065801620483
26,0.9947916865348816,0.08961156010627747,0.953125,0.2196277379989624
27,0.9956597089767456,0.07395276427268982,0.9375,0.27553805708885193
28,0.9982638955116272,0.059139054268598557,0.953125,0.23310863971710205
29,0.9982638955116272,0.05446159094572067,0.953125,0.21791242063045502
